OBJECTID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,Shape__Area,Shape__Length
578,33193,976,13,Dade,Dade-33193,Miami,"Kendale Lakes, Kendall West, The Hammocks",287,Dade-33193,Miami,975,975,0.0012216930501836,0.154820774339606
579,33194,977,13,Dade,Dade-33194,Miami,Tamiami,288,Dade-33194,Miami,388,388,0.00121497764939704,0.234534130395549
580,33196,980,13,Dade,Dade-33196,Miami,"Country Walk, Kendall West, Richmond West, The Hammocks",289,Dade-33196,Miami,920,920,0.115114542209767,2.02286658644599
581,33199,982,13,Dade,Dade-33199,Miami,University Park,290,Dade-33199,Miami,<5,-2,4.86788351281575e-05,0.0386553245136198
582,33301,983,6,Broward,Broward-33301,Fort Lauderdale,Fort Lauderdale,102,Broward-33301,"Fort Lauderdale, Hollywood, Pompano Beach, Weston",301,301,0.000608367550967159,0.140406734065799
583,33304,984,6,Broward,Broward-33304,Fort Lauderdale,Fort Lauderdale,103,Broward-33304,"Fort Lauderdale, Oakland Park",283,283,0.000810523390555318,0.157097254863488
584,33305,985,6,Broward,Broward-33305,Fort Lauderdale,"Wilton Manors, Fort Lauderdale, Lazy Lake",104,Broward-33305,"Fort Lauderdale, Oakland Park, Wilton Manors",211,211,0.000528030130453772,0.162403145762537
585,33306,986,6,Broward,Broward-33306,Fort Lauderdale,"Wilton Manors, Fort Lauderdale, Oakland Park",105,Broward-33306,"Fort Lauderdale, Oakland Park, Wilton Manors",41,41,0.000199299953237642,0.0729551505195874
586,33308,987,6,Broward,Broward-33308,Fort Lauderdale,"Pompano Beach, Lauderdale-by-the-Sea, Sea Ranch Lakes, Fort Lauderdale, Oakland Park",106,Broward-33308,"Fort Lauderdale, Laud-by-the-sea, Lauderdale By The Sea, Oakland Park",355,355,0.0011439887018696,0.165338142084765
587,33309,988,6,Broward,Broward-33309,Fort Lauderdale,"North Lauderdale, Pompano Beach, Tamarac, Lauderdale Lakes, Fort Lauderdale, Oakland Park",107,Broward-33309,"Coral Springs, Fort Lauderdale, Hollywood, Lauderdale Lakes, Oakland Park, Pompano Beach, Tamarac",958,958,0.00247115653974106,0.218732456678554
588,33311,989,6,Broward,Broward-33311,Fort Lauderdale,"Lauderdale Lakes, Wilton Manors, Lauderhill, Fort Lauderdale, Lazy Lake, Oakland Park, Plantation, Boulevard Gardens, Franklin Park, Roosevelt Gardens, Washington Park",108,Broward-33311,"Fort Lauderdale, Lauderdale Lakes, Lauderhill, Oakland Park, Plantation, Wilton Manors",1697,1697,0.00251786627222828,0.205893838158591
589,33312,990,6,Broward,Broward-33312,Fort Lauderdale,"Lauderhill, Hollywood, Dania Beach, Davie, Fort Lauderdale, Plantation, Boulevard Gardens, Broadview Park, Washington Park",109,Broward-33312,"Davie, Fort Lauderdale",969,969,0.00270515563602203,0.289018550787828
590,33313,991,6,Broward,Broward-33313,Fort Lauderdale,"Sunrise, Lauderdale Lakes, Lauderhill, Plantation",110,Broward-33313,"City Of Sunrise, Fort Lauderdale, Lauderdale Lakes, Lauderhill, Oakland Park, Plantation, Sunrise",1130,1130,0.00139655576595032,0.206036007925036
591,33314,992,6,Broward,Broward-33314,Fort Lauderdale,"Hollywood, Dania Beach, Davie",111,Broward-33314,"Dania Beach, Davie, Fort Lauderdale",491,491,0.0020581678779763,0.22037793080429
592,33315,993,6,Broward,Broward-33315,Fort Lauderdale,"Dania Beach, Fort Lauderdale",112,Broward-33315,Fort Lauderdale,295,295,0.00130655836505866,0.172749644920509
593,33316,994,6,Broward,Broward-33316,Fort Lauderdale,"Hollywood, Dania Beach, Fort Lauderdale",113,Broward-33316,"Fort Lauderdale, Port Everglades",937,937,0.00112351544203193,0.213244323009878
594,33317,995,6,Broward,Broward-33317,Fort Lauderdale,"Sunrise, Davie, Fort Lauderdale, Plantation, Broadview Park",114,Broward-33317,"Davie, Fort Lauderdale, Plantation",586,586,0.00225207881589995,0.219973794464346
595,33319,996,6,Broward,Broward-33319,Fort Lauderdale,"North Lauderdale, Sunrise, Tamarac, Lauderdale Lakes, Lauderhill, Fort Lauderdale",115,Broward-33319,"Fort Lauderdale, Lauderdale Lakes, Lauderhill, North Lauderdale, Sunrise, Tamarac",813,813,0.00166372052990482,0.188511750138904
596,33321,997,6,Broward,Broward-33321,Fort Lauderdale,"Coral Springs, North Lauderdale, Sunrise, Tamarac",116,Broward-33321,"Fort Lauderdale, Tamarac",734,734,0.00191372168478665,0.200883183582718
597,33322,998,6,Broward,Broward-33322,Fort Lauderdale,"Sunrise, Plantation",117,Broward-33322,"Fort Lauderdale, Plantation, Sunrise",411,411,0.0013687512469005,0.225386348345927
598,33323,999,6,Broward,Broward-33323,Fort Lauderdale,"Sunrise, Davie, Plantation",118,Broward-33323,"Fort Lauderdale, Plantation, Sunrise",276,276,0.00189251159781634,0.265684883187516
599,33324,1000,6,Broward,Broward-33324,Fort Lauderdale,"Davie, Plantation",119,Broward-33324,"Davie, Fort Lauderdale, Plantation",490,490,0.00224255941157026,0.251541329689243
600,33325,1001,6,Broward,Broward-33325,Fort Lauderdale,"Sunrise, Davie, Plantation",120,Broward-33325,"Davie, Fort Lauderdale, Plantation, Sunrise",416,416,0.0022175170142873,0.220237183056861
601,33326,1002,6,Broward,Broward-33326,Fort Lauderdale,"Sunrise, Weston, Davie",121,Broward-33326,"Davie, Fort Lauderdale, Sunrise, Weston",357,357,0.00203193896572884,0.201226676213912
602,33327,1003,6,Broward,Broward-33327,Fort Lauderdale,"Coral Springs, Sunrise, Tamarac, Weston",122,Broward-33327,"Fort Lauderdale, Weston",208,208,0.00195375145017351,0.251039427626935
603,33328,1004,6,Broward,Broward-33328,Fort Lauderdale,"Cooper City, Davie",123,Broward-33328,"Cooper City, Davie, Fort Lauderdale",355,355,0.00214274746599585,0.229093634500398
604,33330,1005,6,Broward,Broward-33330,Fort Lauderdale,"Cooper City, Davie, Southwest Ranches, Pembroke Pines",124,Broward-33330,"Cooper City, Davie, Fort Lauderdale, Southwest Ranches",159,159,0.00259772783192602,0.217892650542407
605,33331,1006,6,Broward,Broward-33331,Fort Lauderdale,"Weston, Davie, Southwest Ranches, Pembroke Pines",125,Broward-33331,"Davie, Fort Lauderdale, Southwest Ranches, Weston",296,296,0.00280344691691425,0.219198250683163
606,33332,1007,6,Broward,Broward-33332,Fort Lauderdale,"Weston, Southwest Ranches, Pembroke Pines",126,Broward-33332,"Fort Lauderdale, Southwest Ranches, Weston",114,114,0.00363657619186597,0.383816148204474
607,33334,1008,6,Broward,Broward-33334,Fort Lauderdale,"Pompano Beach, Wilton Manors, Fort Lauderdale, Oakland Park",127,Broward-33334,"Fort Lauderdale, Oakland Park, Wilton Manors",584,584,0.00116253093574414,0.17613956180938
608,33351,1009,6,Broward,Broward-33351,Fort Lauderdale,"Sunrise, Tamarac, Lauderhill",128,Broward-33351,"Fort Lauderdale, Lauderdale Lakes, Lauderhill, Miramar, Sunrise, Tamarac",551,551,0.00139143168144074,0.198205155969264
609,33401,1012,50,Palm Beach,Palm Beach-33401,West Palm Beach,West Palm Beach,769,Palm Beach-33401,West Palm Beach,568,568,0.00170475873937903,0.204940739399182
610,33403,1013,50,Palm Beach,Palm Beach-33403,West Palm Beach,"Riviera Beach, Lake Park, North Palm Beach, Palm Beach Gardens",770,Palm Beach-33403,"Lake Park, Palm Beach Gardens, Riviera Beach, West Palm Beach",159,159,0.000843723755224346,0.173028835949267
611,33404,1014,50,Palm Beach,Palm Beach-33404,West Palm Beach,"West Palm Beach, Riviera Beach, Lake Park, North Palm Beach, Palm Beach Gardens, Palm Beach Shores",771,Palm Beach-33404,"Palm Beach Shores, Rivera Beach, Riviera Beach, Singer Island, West Palm Beach",657,657,0.00206543905892431,0.30010922981214
612,33405,1015,50,Palm Beach,Palm Beach-33405,West Palm Beach,"West Palm Beach, Lake Clarke Shores, Lake Worth, Cloud Lake",772,Palm Beach-33405,West Palm Beach,483,483,0.00115215366531629,0.157572485404535
613,33406,1016,50,Palm Beach,Palm Beach-33406,West Palm Beach,"West Palm Beach, Palm Springs, Glen Ridge, Lake Clarke Shores, Lake Worth, Cloud Lake, Acacia Villas, Gun Club Estates, Pine Air, Royal Palm Estates, Westgate",773,Palm Beach-33406,"Cloud Lake, Palm Springs, West Palm Beach",742,742,0.00216592836977725,0.247661155884396
614,33407,1017,50,Palm Beach,Palm Beach-33407,West Palm Beach,"West Palm Beach, Riviera Beach, Mangonia Park",774,Palm Beach-33407,"Mangonia Park, Riviera Beach, West Palm Beach",740,740,0.00233507343591555,0.355654394167797
615,33408,1018,50,Palm Beach,Palm Beach-33408,North Palm Beach,"Riviera Beach, Jupiter, Juno Beach, Lake Park, North Palm Beach, Palm Beach Gardens, Juno Ridge",775,Palm Beach-33408,"Juno Beach, North Palm Beach",151,151,0.0022540469294654,0.313262262606976
616,33409,1019,50,Palm Beach,Palm Beach-33409,West Palm Beach,"West Palm Beach, Haverhill, Schall Circle, Westgate",776,Palm Beach-33409,"Haverhill, West Palm Beach",627,627,0.0015315974699206,0.205198835959087
617,33410,1020,50,Palm Beach,Palm Beach-33410,Palm Beach Gardens,"Riviera Beach, Jupiter, Juno Beach, North Palm Beach, Palm Beach Gardens, Cabana Colony",777,Palm Beach-33410,"North Palm Beach, Palm Beach Gardens, Riviera Beach, West Palm Beach",422,422,0.00274809616621496,0.362557944868691
618,33411,1021,50,Palm Beach,Palm Beach-33411,West Palm Beach,"Loxahatchee Groves, West Palm Beach, Royal Palm Beach, Wellington, The Acreage",778,Palm Beach-33411,"Royal Palm Beach, Wellington, West Palm Beach",739,739,0.0101381677486643,0.496993837593209
619,33412,1022,50,Palm Beach,Palm Beach-33412,West Palm Beach,"West Palm Beach, Palm Beach Gardens, The Acreage",779,Palm Beach-33412,"Palm Beach Gardens, Royal Palm Beach, West Palm Beach",118,118,0.0123917032763075,0.624527842484114
620,33413,1023,50,Palm Beach,Palm Beach-33413,West Palm Beach,"Wellington, Haverhill, Greenacres, Lake Belvedere Estates, Royal Palm Estates",780,Palm Beach-33413,"Greenacres, West Palm Beach",283,283,0.0018020453248937,0.231891548371259
621,33414,1024,50,Palm Beach,Palm Beach-33414,Wellington,"Royal Palm Beach, Wellington",781,Palm Beach-33414,"Royal Palm Beach, Wellington, West Palm Beach",536,536,0.00686379943317661,0.424487363261929
622,33415,1025,50,Palm Beach,Palm Beach-33415,West Palm Beach,"Palm Springs, Haverhill, Greenacres, Acacia Villas, Lake Belvedere Estates, Royal Palm Estates, Westgate",782,Palm Beach-33415,"Greenacres, Haverhill, West Palm Beach",1124,1124,0.00169647075108514,0.184799933367395
623,33417,1026,50,Palm Beach,Palm Beach-33417,West Palm Beach,"West Palm Beach, Haverhill, Lake Belvedere Estates, Plantation Mobile Home Park, Schall Circle, Stacey Street",783,Palm Beach-33417,"Haverhill, West Palm Beach",545,545,0.00163764648573306,0.201656660153947
624,33418,1027,50,Palm Beach,Palm Beach-33418,Palm Beach Gardens,"West Palm Beach, Riviera Beach, Jupiter, Palm Beach Gardens, Jupiter Farms",784,Palm Beach-33418,"Palm Beach Gardens, Riviera Beach, West Palm Beach",332,332,0.011129864717077,0.538230032845395
625,33426,1028,50,Palm Beach,Palm Beach-33426,Boynton Beach,"Lantana, Boynton Beach",785,Palm Beach-33426,Boynton Beach,344,344,0.00138998637430632,0.215125942080183
626,33428,1030,50,Palm Beach,Palm Beach-33428,Boca Raton,Watergate,786,Palm Beach-33428,Boca Raton,547,547,0.00211528790305238,0.19562296541882
627,33430,1031,50,Palm Beach,Palm Beach-33430,Belle Glade,"South Bay, Belle Glade",787,Palm Beach-33430,Belle Glade,659,659,0.0339407519511497,1.58922482518431
628,33431,1032,50,Palm Beach,Palm Beach-33431,Boca Raton,"Boca Raton, Highland Beach",788,Palm Beach-33431,Boca Raton,288,288,0.0019693034894317,0.228460985063973
629,33432,1034,50,Palm Beach,Palm Beach-33432,Boca Raton,Boca Raton,789,Palm Beach-33432,Boca Raton,299,299,0.00123766033402717,0.177907647548443
630,33433,1036,50,Palm Beach,Palm Beach-33433,Boca Raton,Boca Raton,790,Palm Beach-33433,Boca Raton,565,565,0.00222807455315888,0.209292685270745
631,33434,1037,50,Palm Beach,Palm Beach-33434,Boca Raton,Boca Raton,791,Palm Beach-33434,Boca Raton,170,170,0.00171117296849843,0.192931590842942
632,33435,1038,50,Palm Beach,Palm Beach-33435,Boynton Beach,"Briny Breezes, Ocean Ridge, Delray Beach, Hypoluxo, Boynton Beach, San Castle",792,Palm Beach-33435,"Boynton Beach, Ocean Ridge",683,683,0.00164156667869975,0.261916227722484
633,33436,1039,50,Palm Beach,Palm Beach-33436,Boynton Beach,"Golf, Boynton Beach",793,Palm Beach-33436,Boynton Beach,470,470,0.00280141645839649,0.266568679095094
634,33437,1040,50,Palm Beach,Palm Beach-33437,Boynton Beach,Boynton Beach,794,Palm Beach-33437,Boynton Beach,290,290,0.00266019898822378,0.218109251355479
635,33438,1041,43,Martin,Martin-33438,Canal Point,Canal Point,660,Martin-33438,,0,0,0.00200971028948516,0.287558334243802
636,33438,1042,50,Palm Beach,Palm Beach-33438,Canal Point,"Pahokee, Canal Point",795,Palm Beach-33438,Canal Point,22,22,0.00453779100189422,0.359469466907357
637,33440,1046,26,Hendry,Hendry-33440,Clewiston,"Clewiston, Harlem, Montura, Pioneer",395,Hendry-33440,Clewiston,674,674,0.135283743414902,2.18425010063855
638,33440,1047,50,Palm Beach,Palm Beach-33440,Clewiston,Lake Harbor,796,Palm Beach-33440,Clewiston,<5,-2,0.00541210097048861,1.52210985309443
639,33441,1048,6,Broward,Broward-33441,Deerfield Beach,"Deerfield Beach, Pompano Beach, Lighthouse Point, Hillsboro Beach, Boca Raton",129,Broward-33441,Deerfield Beach,554,554,0.00115590343284566,0.175112625689649
640,33442,1050,6,Broward,Broward-33442,Deerfield Beach,"Deerfield Beach, Boca Raton",130,Broward-33442,Deerfield Beach,375,375,0.00182725964418751,0.196754001882126
641,33444,1052,50,Palm Beach,Palm Beach-33444,Delray Beach,"Boca Raton, Delray Beach, Boynton Beach",797,Palm Beach-33444,Delray Beach,387,387,0.00121589568857416,0.191607225810041
642,33445,1053,50,Palm Beach,Palm Beach-33445,Delray Beach,"Boca Raton, Delray Beach, Boynton Beach",798,Palm Beach-33445,Delray Beach,411,411,0.00188006293865328,0.199578714953371
643,33446,1054,50,Palm Beach,Palm Beach-33446,Delray Beach,Delray Beach,799,Palm Beach-33446,Delray Beach,241,241,0.00454634588459157,0.311980224911043
644,33449,1055,50,Palm Beach,Palm Beach-33449,Lake Worth,Wellington,800,Palm Beach-33449,"Lake Worth, Wellington",96,96,0.00374117162095899,0.27667852410606
645,33455,1056,43,Martin,Martin-33455,Hobe Sound,"Jupiter Island, Hobe Sound",661,Martin-33455,Hobe Sound,182,182,0.0158029246247224,0.999467250368563
646,33458,1058,43,Martin,Martin-33458,Jupiter,Jupiter,662,Martin-33458,,0,0,0.000996275168063221,0.170327166977754
647,33458,1059,50,Palm Beach,Palm Beach-33458,Jupiter,"Jupiter, Palm Beach Gardens, Limestone Creek",801,Palm Beach-33458,Jupiter,853,853,0.00399663877328749,0.290166183944566
648,33460,1060,50,Palm Beach,Palm Beach-33460,Lake Worth Beach,"Lantana, West Palm Beach, Lake Clarke Shores, Lake Worth",802,Palm Beach-33460,"Lake Worth, Lake Worth Beach",1200,1200,0.00124869587534704,0.173355519703677
649,33461,1061,50,Palm Beach,Palm Beach-33461,Lake Worth,"Lantana, Palm Springs, Atlantis, Lake Clarke Shores, Lake Worth, Greenacres, Acacia Villas, Kenwood Estates",803,Palm Beach-33461,"Lake Worth, Lake Worth Beach, Palm Springs",1095,1095,0.00182321610918734,0.241153025006404
650,33462,1062,50,Palm Beach,Palm Beach-33462,Lake Worth,"Manalapan, Lantana, Atlantis, Hypoluxo, Lake Worth, South Palm Beach, Boynton Beach, Palm Beach, San Castle, Seminole Manor",804,Palm Beach-33462,"Atlantis, Hypoluxo, Lake Worth, Lantana, Manalapan",582,582,0.00236049257932791,0.311275857649748
651,33463,1063,50,Palm Beach,Palm Beach-33463,Lake Worth,"Atlantis, Greenacres, Kenwood Estates",805,Palm Beach-33463,"Green Acres, Greenacres, Lake Worth",1181,1181,0.00254954148294928,0.258433870246153
652,33467,1064,50,Palm Beach,Palm Beach-33467,Lake Worth,"Wellington, Greenacres",806,Palm Beach-33467,"Greenacres, Lake Worth, Wellington",567,567,0.00443450099942311,0.286753116573354
653,33469,1065,43,Martin,Martin-33469,Jupiter,"Tequesta, Jupiter Island, Hobe Sound",663,Martin-33469,,0,0,0.00202640017141675,0.265814228800913
654,33469,1066,50,Palm Beach,Palm Beach-33469,Jupiter,"Tequesta, Jupiter, Jupiter Inlet Colony",807,Palm Beach-33469,"Jupiter, Tequesta",127,127,0.00094701372563577,0.142257328996987
655,33470,1068,50,Palm Beach,Palm Beach-33470,Loxahatchee,"Loxahatchee Groves, Royal Palm Beach, Wellington, Palm Beach Gardens, The Acreage",808,Palm Beach-33470,"Loxahatchee, Loxahatchee Groves, Wellington",344,344,0.104386216260309,1.76227455671051
656,33471,1069,22,Glades,Glades-33471,Moore Haven,"Moore Haven, Pioneer",380,Glades-33471,Moore Haven,200,200,0.121717627436055,3.0079160380966
657,33472,1072,50,Palm Beach,Palm Beach-33472,Boynton Beach,Boynton Beach,809,Palm Beach-33472,Boynton Beach,151,151,0.0031311220338921,0.376380646463801
658,33473,1073,50,Palm Beach,Palm Beach-33473,Boynton Beach,Boynton Beach,810,Palm Beach-33473,Boynton Beach,49,49,0.00194611870529116,0.279074467229481
659,33476,1074,50,Palm Beach,Palm Beach-33476,Pahokee,"Pahokee, Canal Point",811,Palm Beach-33476,Pahokee,315,315,0.00470661095960168,0.403102524359572
660,33477,1075,50,Palm Beach,Palm Beach-33477,Jupiter,"Jupiter, Juno Beach, Jupiter Inlet Colony",812,Palm Beach-33477,Jupiter,84,84,0.00170919317952212,0.220056796254538
661,33478,1076,43,Martin,Martin-33478,Jupiter,Jupiter Farms,664,Martin-33478,,0,0,0.00539681131181169,0.348663999313039
662,33478,1077,50,Palm Beach,Palm Beach-33478,Jupiter,"Jupiter, Palm Beach Gardens, Jupiter Farms, The Acreage",813,Palm Beach-33478,Jupiter,101,101,0.00880898465220525,0.506895052900903
663,33480,1078,50,Palm Beach,Palm Beach-33480,Palm Beach,"Lantana, Lake Worth, South Palm Beach, Palm Beach",814,Palm Beach-33480,"Palm Beach, South Palm Beach",62,62,0.00180094449115131,0.422961002533179
664,33483,1079,50,Palm Beach,Palm Beach-33483,Delray Beach,"Briny Breezes, Boca Raton, Delray Beach, Gulf Stream, Boynton Beach, Highland Beach",815,Palm Beach-33483,"Delray Beach, Gulf Stream",125,125,0.00102103130734577,0.219201958172937
665,33484,1080,50,Palm Beach,Palm Beach-33484,Delray Beach,Delray Beach,816,Palm Beach-33484,"Delray Beach, West Delray Beach",306,306,0.00146800661627822,0.171670693196852
666,33486,1082,50,Palm Beach,Palm Beach-33486,Boca Raton,"Deerfield Beach, Boca Raton",817,Palm Beach-33486,Boca Raton,344,344,0.0012860215128967,0.164186615251126
667,33487,1083,50,Palm Beach,Palm Beach-33487,Boca Raton,"Boca Raton, Delray Beach, Highland Beach",818,Palm Beach-33487,Boca Raton,178,178,0.00170853144845751,0.199018265318098
668,33493,1084,50,Palm Beach,Palm Beach-33493,South Bay,South Bay,819,Palm Beach-33493,South Bay,300,300,0.013131759744283,0.614067991488709
669,33496,1085,50,Palm Beach,Palm Beach-33496,Boca Raton,Boca Raton,820,Palm Beach-33496,Boca Raton,172,172,0.00244493717832484,0.228812690807561
670,33498,1086,50,Palm Beach,Palm Beach-33498,Boca Raton,Wellington,821,Palm Beach-33498,Boca Raton,126,126,0.00284127906297726,0.262183948070993
671,33510,1087,29,Hillsborough,Hillsborough-33510,Brandon,"Brandon, East Lake-Orient Park, Mango, Seffner",421,Hillsborough-33510,Brandon,343,343,0.00198343121542166,0.225463902327245
672,33511,1088,29,Hillsborough,Hillsborough-33511,Brandon,"Bloomingdale, Brandon, Riverview",422,Hillsborough-33511,Brandon,1045,1045,0.00376822792054554,0.356260008221107
673,33513,1091,60,Sumter,Sumter-33513,Bushnell,"Bushnell, Istachatta, Nobleton",1041,Sumter-33513,Bushnell,171,171,0.0264924263201465,0.904360171328008
674,33514,1093,60,Sumter,Sumter-33514,Center Hill,"Center Hill, Wildwood",1042,Sumter-33514,Center Hill,21,21,0.00685637021933871,0.514076950802485
675,33523,1094,27,Hernando,Hernando-33523,Dade City,"Lacoochee, Ridge Manor",399,Hernando-33523,,0,0,0.00197773032641635,0.454362025943562
676,33523,1095,51,Pasco,Pasco-33523,Dade City,"Dade City, Dade City North, Lacoochee, Trilby",825,Pasco-33523,"Dade City, Ridge Manor",135,135,0.0234428861735978,1.17944056442963
677,33525,1097,51,Pasco,Pasco-33525,Dade City,"St. Leo, San Antonio, Dade City, Connerton, Dade City North, Pasadena Hills",826,Pasco-33525,Dade City,268,268,0.0282878952871215,1.37228444799194
678,33527,1100,29,Hillsborough,Hillsborough-33527,Dover,"Brandon, Dover, Fish Hawk, Thonotosassa, Valrico",423,Hillsborough-33527,Dover,251,251,0.00714454011472299,0.613830572990968
679,33534,1101,29,Hillsborough,Hillsborough-33534,Gibsonton,"Apollo Beach, Gibsonton, Riverview",424,Hillsborough-33534,Gibsonton,204,204,0.00343714764312608,0.571576768919493
680,33538,1104,60,Sumter,Sumter-33538,Lake Panasoffkee,"Bushnell, Lake Panasoffkee",1043,Sumter-33538,Lake Panasoffkee,32,32,0.019018136369823,0.903262398098881
681,33540,1105,29,Hillsborough,Hillsborough-33540,Zephyrhills,Crystal Springs,425,Hillsborough-33540,,0,0,0.000970223750300647,0.266733739604111
682,33540,1106,51,Pasco,Pasco-33540,Zephyrhills,"Zephyrhills, Crystal Springs, Pasadena Hills, Zephyrhills North, Zephyrhills South",827,Pasco-33540,Zephyrhills,39,39,0.00807698224593878,0.596229736232401
683,33541,1109,51,Pasco,Pasco-33541,Zephyrhills,"Zephyrhills, Pasadena Hills, Wesley Chapel, Zephyrhills South, Zephyrhills West",828,Pasco-33541,Zephyrhills,126,126,0.00494221033932263,0.470436125046949
684,33542,1110,51,Pasco,Pasco-33542,Zephyrhills,"Zephyrhills, Pasadena Hills, Zephyrhills North, Zephyrhills South, Zephyrhills West",829,Pasco-33542,Zephyrhills,155,155,0.00258368303093448,0.262083124011352
685,33543,1112,51,Pasco,Pasco-33543,Wesley Chapel,"Tampa, Pasadena Hills, Wesley Chapel",830,Pasco-33543,"Wesley Chapel, Zephyrhills",259,259,0.0062854929265086,0.344011054382517
686,33544,1114,51,Pasco,Pasco-33544,Wesley Chapel,"Tampa, Wesley Chapel",831,Pasco-33544,"Wesley Chapel, Zephyrhills",262,262,0.00688227050568457,0.522402697642861
687,33545,1115,51,Pasco,Pasco-33545,Wesley Chapel,"Pasadena Hills, Wesley Chapel",832,Pasco-33545,"Wesley Chapel, Zephyrhills",144,144,0.00642850967074082,0.40679593135832
688,33547,1116,29,Hillsborough,Hillsborough-33547,Lithia,"Bloomingdale, Fish Hawk, Riverview, Valrico",426,Hillsborough-33547,Lithia,151,151,0.0366629701620695,1.08037457872159
689,33547,1118,53,Polk,Polk-33547,Lithia,Mulberry,901,Polk-33547,,0,0,0.00098091566360381,0.485713320367228
690,33548,1119,29,Hillsborough,Hillsborough-33548,Lutz,"Cheval, Lake Magdalene, Lutz, Northdale",427,Hillsborough-33548,Lutz,60,60,0.00189532142303506,0.281353597287953
691,33548,1120,51,Pasco,Pasco-33548,Lutz,"Land O' Lakes, Lutz",833,Pasco-33548,,0,0,7.8376464671237e-05,0.0504614752815989
692,33549,1121,29,Hillsborough,Hillsborough-33549,Lutz,"Lake Magdalene, Land O' Lakes, Lutz, University",428,Hillsborough-33549,Lutz,128,128,0.00264702399840644,0.27531704426181
693,33549,1122,51,Pasco,Pasco-33549,Lutz,"Land O' Lakes, Lutz",834,Pasco-33549,Lutz,<5,-2,0.000586488508815819,0.108927577219061
694,33556,1123,29,Hillsborough,Hillsborough-33556,Odessa,"Citrus Park, East Lake, Keystone, Northdale, Odessa, Trinity, Westchase",429,Hillsborough-33556,Odessa,230,230,0.00866548903150033,0.446365652265158
695,33556,1124,51,Pasco,Pasco-33556,Odessa,"Keystone, Odessa, Trinity",835,Pasco-33556,Odessa,12,12,0.002145985531115,0.329076818942188
696,33558,1126,29,Hillsborough,Hillsborough-33558,Lutz,"Cheval, Citrus Park, Keystone, Lutz, Northdale, Odessa",430,Hillsborough-33558,Lutz,231,231,0.00322780286023772,0.330449467812507
697,33558,1127,51,Pasco,Pasco-33558,Lutz,"Keystone, Land O' Lakes, Lutz, Odessa",836,Pasco-33558,Lutz,<5,-2,0.00155926247498428,0.185693088587501
698,33559,1128,29,Hillsborough,Hillsborough-33559,Lutz,"Tampa, Land O' Lakes, Lutz, University, Wesley Chapel",431,Hillsborough-33559,Lutz,122,122,0.0018252935176406,0.265547594421807
699,33559,1129,51,Pasco,Pasco-33559,Lutz,"Land O' Lakes, Lutz, Wesley Chapel",837,Pasco-33559,Lutz,<5,-2,0.00122119550019306,0.199342640517673
700,33563,1130,29,Hillsborough,Hillsborough-33563,Plant City,Plant City,432,Hillsborough-33563,Plant City,509,509,0.00316056477254278,0.363742129058824
701,33565,1131,29,Hillsborough,Hillsborough-33565,Plant City,"Plant City, Crystal Springs, Thonotosassa",433,Hillsborough-33565,Plant City,142,142,0.0193036942541767,1.02827422041247
702,33566,1134,29,Hillsborough,Hillsborough-33566,Plant City,"Lakeland, Plant City, Dover",434,Hillsborough-33566,Plant City,306,306,0.00644950309879277,0.634223331569211
703,33567,1135,29,Hillsborough,Hillsborough-33567,Plant City,"Plant City, Fish Hawk",435,Hillsborough-33567,Plant City,175,175,0.0109559137795259,0.549464339854548
704,33569,1136,29,Hillsborough,Hillsborough-33569,Riverview,"Bloomingdale, Fish Hawk, Riverview",436,Hillsborough-33569,Riverview,229,229,0.00340785307071201,0.335106513507893
705,33570,1137,29,Hillsborough,Hillsborough-33570,Ruskin,"Apollo Beach, Ruskin, Sun City Center",437,Hillsborough-33570,Ruskin,508,508,0.0117673500490127,1.85977780993774
706,33572,1140,29,Hillsborough,Hillsborough-33572,Apollo Beach,"Apollo Beach, Gibsonton, Riverview, Ruskin",438,Hillsborough-33572,"Apollo Beach, Ruskin",172,172,0.00276880243268351,0.792296727450473
707,33573,1141,29,Hillsborough,Hillsborough-33573,Sun City Center,"Apollo Beach, Riverview, Ruskin, Sun City Center",439,Hillsborough-33573,"Ruskin, Sun City Center",189,189,0.00438005430601152,0.339824505428398
708,33576,1142,51,Pasco,Pasco-33576,San Antonio,"St. Leo, San Antonio, Pasadena Hills",838,Pasco-33576,San Antonio,22,22,0.00483804775899443,0.536639200392085
709,33578,1143,29,Hillsborough,Hillsborough-33578,Riverview,"Apollo Beach, Bloomingdale, Brandon, Gibsonton, Palm River-Clair Mel, Progress Village, Riverview",440,Hillsborough-33578,Riverview,627,627,0.00472903570744165,0.58349388117814
710,33579,1144,29,Hillsborough,Hillsborough-33579,Riverview,"Apollo Beach, Balm, Fish Hawk, Riverview",441,Hillsborough-33579,Riverview,363,363,0.00512249422513378,0.333059662637838
711,33584,1145,29,Hillsborough,Hillsborough-33584,Seffner,"Brandon, East Lake-Orient Park, Mango, Seffner, Thonotosassa",442,Hillsborough-33584,Seffner,328,328,0.00495358418015712,0.48362213224106
712,33585,1147,60,Sumter,Sumter-33585,Sumterville,"Bushnell, Wildwood, Coleman, The Villages",1044,Sumter-33585,Sumterville,11,11,0.0108053882820514,0.696069051358285
